BRAND,RECENT_AVG,PREV_AVG,PCT_CHANGE,GAINING_ATTENTION
Burger,593.4,517.4999999999999,0.14666666666666686,False
Ccs,1528.1000000000001,1483.3,0.030202925908447503,False
Cheetos,1320.3999999999999,1403.7666666666664,-0.059387837484862094,False
Cheezels,3395.9,3283.2000000000003,0.034326267056530156,False
Cobs,5788.666666666667,5840.599999999999,-0.008891780524831779,False
Doritos,19863.083333333336,19848.600000000002,0.0007296904231700762,False
French,658.0,709.0,-0.07193229901269393,False
Grain,3556.7999999999997,3682.7999999999997,-0.034213098729227766,False
Grnwves,715.0666666666666,718.1666666666666,-0.00431654676258996,False
Infuzions,8297.666666666666,8077.066666666666,0.027311895407573755,False
Kettle,32208.399999999998,32027.399999999998,0.005651410979348933,False
Natural,2964.0,2730.0,0.08571428571428572,False
Ncc,660.0,662.0,-0.0030211480362537764,False
Old,7284.5,7536.099999999999,-0.033385968869839765,False
Pringles,14136.466666666669,14930.733333333335,-0.05319676193622994,False
RRD,7958.700000000001,7944.400000000001,0.0018000100699864282,False
Smiths,18780.166666666664,18617.266666666666,0.008749941810290688,False
Snbts,385.3333333333333,417.0666666666666,-0.07608695652173904,False
Sunbites,353.59999999999997,410.26666666666665,-0.13812154696132603,False
Thins,7214.899999999999,7143.399999999999,0.010009239297813367,False
Tostitos,6610.266666666667,6654.266666666667,-0.006612298875909191,False
Twisties,6654.566666666666,6735.866666666666,-0.01206971634434572,False
Tyrrells,4162.200000000001,4440.8,-0.06273644388398474,False
Woolworths,4160.266666666666,4043.933333333333,0.028767371700819375,False
